zcta,overlap_sq_miles,share_of_community_area
38109,61.9212768828503,0.2883257595642672
38127,26.64310755894515,0.12405904094353236
38128,17.964719837174474,0.08364962341154748
38053,16.664492484408537,0.07759533871387027
38113,16.35610623893468,0.07615939128285001
38116,12.313457414481816,0.0573354933976824
38106,10.492764054057862,0.04885774838814359
38114,7.415227170622522,0.03452772801110422
38108,6.5875457802089095,0.03067377218878319
38111,5.677919231188686,0.026438252850862095
38107,5.557123979995917,0.025875790571251743
38118,4.793875235507248,0.02232185426584397
38103,2.9605935041392297,0.013785493675412173
38104,2.9239285056246507,0.013614769425553131
38112,2.53799105332227,0.011817718158507943
38126,1.8579045964465468,0.00865101272026185
38002,1.5293082223529717,0.007120960306616709
38122,1.3102854509177126,0.006101118499164707
38105,0.8624728146669175,0.004015956096364719
38132,0.7775472308969483,0.003620514744384188
38135,0.7587207905893917,0.0035328526680378424
72301,0.4261250877087368,0.0019841780687994757
38131,0.22491440046933617,0.001047275163187463
38152,0.09878715578227708,0.00045998537433273185
72364,0.0094127261908374,4.382873811982573e-05
38117,0.004358341696188394,2.0293867362773476e-05
