geoid,zcta,overlap_sq_m,overlap_sq_miles,tract_sq_m,share_of_tract_area
47157007300,38152,255857.5589300079,0.09878715578227708,1917132.463854497,0.13345846661820782
47157007300,38111,1649986.8517505797,0.6370634850275534,1917132.463854497,0.8606535452606092
47157007300,38117,11288.053173909577,0.004358341696188394,1917132.463854497,0.0058879881211830005
47157022410,38109,13387016.819528995,5.168756090464173,13387016.819528986,1.0000000000000007
47157005300,38109,6464514.084780257,2.495962842061701,6464514.084780256,1.0000000000000002
47157005700,38106,1446683.980855051,0.5585678077369136,1446683.9808550507,1.0000000000000002
47157003300,38104,1122826.5511841313,0.43352575508096314,1122826.5511841313,1.0
47157000600,38108,5056666.032606524,1.9523896702176449,5056666.032606521,1.0000000000000007
47157022130,38116,5010354.129129991,1.9345085443191459,5010354.12912999,1.0000000000000002
47157010120,38127,7376533.394612629,2.8480954662203715,7376533.394612626,1.0000000000000004
47157000100,38103,4634247.578214085,1.7892929931685602,6882516.910258722,0.6733361702760972
47157000100,38107,2248269.3320446354,0.8680616420872166,6882516.910258722,0.3266638297239026
47157000300,38107,2966915.0604945854,1.1455323090690508,2966915.060494583,1.0000000000000009
47157000400,38108,1015957.3876429789,0.39226334035609856,2367979.238394449,0.4290398206074747
47157000400,38107,1352021.85075147,0.5220185549716951,2367979.238394449,0.5709601793925253
47157001600,38112,2402707.6688567824,0.9276906172920918,3128807.795535011,0.7679307346029962
47157001600,38107,514006.15440631146,0.19845888572037856,3128807.795535011,0.16428179293717812
47157001600,38104,212093.9722719136,0.0818899405080275,3128807.795535011,0.06778747245982444
47157007810,38106,2172936.6167050838,0.8389755180857521,5976021.759463609,0.36360922101129034
47157007810,38114,3803085.1427585217,1.468379382739771,5976021.759463609,0.636390778988709
47157001300,38112,694834.0625694914,0.2682769313868975,1664584.8834296437,0.41742182659852306
47157001300,38122,969750.8208601525,0.37442288518241357,1664584.8834296437,0.5825781734014771
47157001400,38112,1226142.0419480668,0.47341608907579075,1226142.0419480668,1.0
47157001500,38112,1368538.7627339335,0.5283957703405798,1368538.7627339335,1.0
47157001700,38112,196834.8537794543,0.07599836192063401,1644291.7508544587,0.1197079859320396
47157001700,38107,1379195.7785488057,0.532510467150323,1644291.7508544587,0.8387780196744918
47157001700,38104,68261.11852619851,0.026355765207486982,1644291.7508544587,0.041513994393468506
47157001900,38107,926177.940320904,0.3575993019522976,926177.9403209047,0.9999999999999992
47157002000,38107,926161.7143078687,0.35759303705364015,965694.8760711174,0.9590624712392725
47157002000,38105,39533.16176324844,0.015263839090797907,965694.8760711174,0.04093752876072739
47157002100,38107,281986.4205952178,0.1088755656714716,791222.2234421559,0.35639345336946676
47157002100,38105,509235.80284693785,0.1966170426862981,791222.2234421559,0.643606546630533
47157002400,38107,71050.41802701497,0.027432719765573585,1241869.5799509576,0.05721246350991286
47157002400,38105,1170819.1619239422,0.45205580568169146,1241869.5799509576,0.9427875364900868
47157002500,38112,207617.34114056148,0.08016150356521413,1620795.5469596658,0.12809594740682498
47157002500,38107,236816.1665355669,0.09143523307712971,1620795.5469596658,0.1461110668645366
47157002500,38105,226063.94142950187,0.08728377575454371,1620795.5469596658,0.13947714864688454
47157002500,38104,950298.097854035,0.36691214684022333,1620795.5469596658,0.5863158370817535
47157011401,38103,566568.8169275424,0.21875344317856396,1216921.642336664,0.4655754300167175
47157011401,38126,650352.8254091218,0.25110262970464037,1216921.642336664,0.5344245699832827
47157010122,38127,2057800.5786226674,0.7945212452561059,2057800.5786226685,0.9999999999999994
47157010002,38127,2974367.2383620106,1.1484096110295057,2974367.238362007,1.0000000000000013
47157010121,38127,2139334.886684116,0.8260018175938959,2139334.8866841164,0.9999999999999998
47157010001,38127,2544453.086317176,0.9824188289370499,2544453.0863171774,0.9999999999999994
47157011402,38103,730580.7581123883,0.28207880769676963,1660304.1508049185,0.4400282669643399
47157011402,38126,929723.3926925308,0.3589682087659921,1660304.1508049185,0.5599717330356605
47157020543,38128,4239131.346916629,1.6367377633894562,4239131.346916631,0.9999999999999996
47157001100,38122,1751405.505106872,0.6762214460048859,1751405.505106872,1.0
47157000700,38112,92504.33233351128,0.03571612238849647,2497535.4421860967,0.03703824609293316
47157000700,38108,1218070.64240108,0.4702997042882407,2497535.4421860967,0.48770905182226404
47157000700,38107,1186960.4674515063,0.4582879985875771,2497535.4421860967,0.47525270208480325
47157000800,38108,2191972.122654079,0.8463251680216067,2191972.122654077,1.0000000000000009
47157000900,38112,38838.94513340662,0.014995800551519917,2365333.84095914,0.0164200691085777
47157000900,38108,2326494.8958257306,0.8982647011162973,2365333.84095914,0.9835799308914212
47157005500,38109,2518728.174149331,0.9724863848207301,3355145.4888370903,0.7507060968084381
47157005500,38106,836417.3146877551,0.32294253064321843,3355145.4888370903,0.24929390319156067
47157010220,38127,10654378.806927446,4.113678655283576,10654378.806927444,1.0000000000000002
47157020221,38127,8926546.411160769,3.446558837678496,52087383.810562566,0.17137636329798916
47157020221,38053,43160837.39940175,16.664492484408537,52087383.810562566,0.8286236367020099
47157020521,38128,7788496.515747144,3.007155316530291,7788496.515747137,1.0000000000000009
47157022210,38109,20645352.785481323,7.971215274344635,20645352.785481334,0.9999999999999994
47157011200,38107,1201230.7996239685,0.4637978046424825,1201230.799623968,1.0000000000000004
47157011600,38126,1383639.5952853924,0.5342262343844861,1524874.4383567628,0.9073793621830476
47157011600,38106,141234.8430713708,0.054531077771259866,1524874.4383567628,0.09262063781695264
47157011500,38106,2388233.321047056,0.9221020403592624,2388233.321047054,1.0000000000000009
47157022700,38109,7148291.816047987,2.7599709000674277,8269713.44728034,0.8643941367035934
47157022700,38116,1121421.6312323601,0.43298331245500493,8269713.44728034,0.13560586329640745
47157007821,38106,1946584.020343897,0.7515802920390109,3502728.373861972,0.5557336489091415
47157007821,38114,1556144.3535180744,0.6008306938969674,3502728.373861972,0.44426635109085844
47157007822,38106,2338011.4697713447,0.9027112751757125,2338011.4697713447,1.0
