cluster_id,n_cluster_tracts,cluster_pop_total_latest,igs_total_pre_covid,igs_economy_pre_covid,poverty_rate_pre_covid,unemp_rate_pre_covid,median_household_income_pre_covid,lfpr_16p_pre_covid,igs_total_covid,igs_economy_covid,poverty_rate_covid,unemp_rate_covid,median_household_income_covid,lfpr_16p_covid,igs_total_recovery,igs_economy_recovery,poverty_rate_recovery,unemp_rate_recovery,median_household_income_recovery,lfpr_16p_recovery,primary_county_fips,primary_county,n_counties,score_low_igs_recovery,score_econ_vulnerability_recovery,igs_drop_pre_to_covid,poverty_jump_pre_to_covid,unemp_jump_pre_to_covid,income_drop_pre_to_covid,lfpr_drop_pre_to_covid,score_covid_shock,igs_rebound_covid_to_recovery,poverty_improve_covid_to_recovery,unemp_improve_covid_to_recovery,income_rebound_covid_to_recovery,lfpr_rebound_covid_to_recovery,score_weak_recovery,ga_candidate_score,ga_rank
Georgia | candidate_cluster_14,8,31154.0,43.074309679545145,46.17255940486178,0.22500200521072578,0.042607906202939305,41793.61244398995,0.48596443154367747,43.44444604941995,46.640658632615526,0.2559112278508566,0.037859308492653634,40876.098905018895,0.46310322032591184,39.883673145876394,46.06312796569162,0.23968724088583873,0.05310373160125847,45615.6005188058,0.47711010639194057,13299,Ware County,1,0.8666666666666667,0.5733333333333334,-0.3701363698748068,0.03090922264013085,-0.004748597710285671,917.5135389710558,0.02286121121776563,0.8266666666666665,-3.5607729035435582,0.016223986965017895,-0.015244423108604833,4739.501613786902,0.014006886066028734,0.6933333333333334,0.74,1
Georgia | candidate_cluster_6,45,132974.0,40.443129847554104,38.63674315612011,0.26668201856095536,0.12104060051965382,38768.137076496816,0.6103193093010856,40.16668871849476,41.777539237089556,0.2502010648847158,0.10297020557865869,42184.59958615297,0.5970035848719211,38.77239930167224,38.131315059324685,0.24040446126785775,0.0835401456624084,48877.79993158771,0.5956083386870034,13215,Muscogee County,2,1.0,0.6799999999999999,0.2764411290593429,-0.016480953676239585,-0.018070394940995133,-3416.4625096561504,0.01331572442916451,0.6933333333333334,-1.3942894168225237,0.009796603616858024,0.019430059916250284,6693.200345434743,-0.001395246184917709,0.5733333333333334,0.7366666666666666,2
Georgia | candidate_cluster_8,10,31548.0,36.878009151173096,35.76171848524026,0.3462489822001853,0.10388196009643141,29908.715711900702,0.49051102872868585,41.64149359111671,42.1609881054606,0.3109736462531041,0.08024028830901384,42852.8630613243,0.4982431610690069,39.00387747359388,44.95936843422032,0.28588238168596897,0.07935216278696551,49840.629588288044,0.45699269409660365,13009,Baldwin County,1,0.9333333333333333,0.7333333333333334,-4.763484439943618,-0.03527533594708121,-0.02364167178741758,-12944.147349423598,-0.007732132340321052,0.2533333333333333,-2.637616117522832,0.02509126456713512,0.0008881255220483247,6987.766526963744,-0.041250466972403255,0.6933333333333332,0.6533333333333333,3
Georgia | candidate_cluster_2,69,192501.0,39.282505493832566,39.54794184716297,0.2767514686566754,0.13901561188748018,37088.943777368804,0.552422535906495,41.4862969282929,43.22236436069099,0.2559931085611187,0.099014797774753,41335.05342977059,0.5507502228558441,41.13915347259813,44.05852484160067,0.24921449622354522,0.09094559149939807,48215.11688969691,0.5407397513676976,13095,Dougherty County,19,0.6666666666666666,0.7733333333333334,-2.203791434460335,-0.020758360095556705,-0.040000814112727184,-4246.109652401785,0.0016723130506509643,0.4,-0.3471434556947699,0.006778612337573459,0.008069206275354929,6880.063459926321,-0.010010471488146488,0.68,0.63,4
Georgia | candidate_cluster_4,83,247573.0,38.00013937717993,39.12505039424116,0.2908702953892499,0.09185546559552416,36844.11156837579,0.5198490227839886,39.057712216781965,39.285985857967745,0.271642611924957,0.07932894887377104,40695.34394959513,0.5226741509104217,40.303997464285025,40.59254463472234,0.26330491256467453,0.07771853967884647,48610.78421645053,0.5323797755964291,13021,Bibb County,13,0.7333333333333333,0.7866666666666666,-1.057572839602038,-0.019227683464292933,-0.012526516721753117,-3851.2323812193426,-0.0028251281264330963,0.5333333333333333,1.2462852475030601,0.008337699360282447,0.0016104091949245697,7915.440266855396,0.009705624686007441,0.44000000000000006,0.6233333333333333,5
Georgia | candidate_cluster_13,10,41701.0,41.57414519004837,46.656231453942276,0.22703119088911347,0.0630709188344703,40471.73409103997,0.5716857542891989,42.50936761815104,47.3153435210138,0.2043260506654503,0.04866482588349612,50128.19620019595,0.5730746124975621,41.49226271616233,45.93120675512421,0.2067345321387092,0.06904265397566389,56852.87311498038,0.5750732275550829,13255,Spalding County,1,0.5333333333333333,0.43999999999999995,-0.9352224281026693,-0.022705140223663184,-0.014406092950974184,-9656.462109155975,-0.0013888582083632084,0.43999999999999995,-1.0171049019887093,-0.002408481473258922,-0.020377828092167774,6724.676914784432,0.0019986150575208583,0.7733333333333333,0.5466666666666666,6
Georgia | candidate_cluster_9,36,127704.0,40.26940162770219,42.45464551511044,0.27567155235296487,0.113538290603006,37972.81127022809,0.5743242444116329,40.55473698221473,44.606477157593844,0.27551322429341907,0.10323834144109176,41306.06593562914,0.5827151594204665,41.42768867889007,43.384120781712944,0.2492421105921748,0.08977985159404174,49039.14626704959,0.6010580700561913,13245,Richmond County,2,0.6,0.6266666666666667,-0.2853353545125401,-0.0001583280595457981,-0.010299949161914249,-3333.254665401051,-0.0083909150088336,0.6666666666666667,0.8729516966753437,0.02627111370124427,0.013458489847050017,7733.080331420446,0.018342910635724796,0.24,0.5333333333333333,7
Georgia | candidate_cluster_3,14,52778.0,33.86342396942281,36.653705173854185,0.24450258096497934,0.10464810071902214,39915.62843900272,0.6558916435699018,42.15483659782427,44.86502571332569,0.22609379364652246,0.06706554699887139,48457.01633824311,0.6778522381451091,40.27967123552292,42.63183432591634,0.21191444809813856,0.05895737247007211,53818.75842093961,0.671848749958778,13063,Clayton County,1,0.8,0.38666666666666666,-8.29141262840146,-0.018408787318456882,-0.03758255372015075,-8541.387899240392,-0.02196059457520727,0.2533333333333333,-1.8751653623013524,0.014179345548383904,0.008108174528799285,5361.742082696495,-0.0060034881863311185,0.68,0.53,8
Georgia | candidate_cluster_1,26,67591.0,42.090162611137664,46.94540252979508,0.2582969667001817,0.12300172246020884,38313.496989238185,0.6376034359517436,43.50895165730603,45.32842423768222,0.26630736372939645,0.12225866025566115,43660.03933906696,0.623985907680108,43.735097675045644,48.101603036402956,0.25712600061795876,0.10846850302221776,50726.4547999186,0.6150792602016244,13051,Chatham County,1,0.3333333333333333,0.5333333333333334,-1.4187890461683637,0.008010397029214744,-0.000743062204547687,-5346.542349828778,0.013617528271635648,0.68,0.22614601773961596,0.00918136311143769,0.013790157233443387,7066.41546085164,-0.008906647478483576,0.5066666666666666,0.5133333333333334,9
Georgia | candidate_cluster_10,16,52316.0,40.70253437379878,45.00283054160744,0.33022837686568646,0.09249780294545788,34863.057379672355,0.569145979003593,40.97389487070129,49.88889247739473,0.3176546090775946,0.060456162305933356,37079.80607679009,0.560330074690796,41.535184332747995,46.117662568256044,0.2694678700734839,0.0658950331713312,45271.91639433842,0.5842754926253516,13185,Lowndes County,1,0.4666666666666667,0.6133333333333333,-0.27136049690250985,-0.012573767788091883,-0.03204164063952453,-2216.748697117735,0.008815904312796996,0.6533333333333333,0.5612894620467088,0.04818673900411069,-0.005438870865397849,8192.11031754833,0.023945417934555624,0.29333333333333333,0.5066666666666667,10
Georgia | candidate_cluster_15,6,19944.0,60.60129993183215,57.531285446538355,0.07803820534041815,0.011787378173695627,134022.98694642787,0.6585190117607873,51.904965375276234,52.017064151801534,0.18879079356045278,0.046662767065871164,106837.01673048275,0.5683422379624874,47.39267453491656,51.255748582600184,0.19349038712474453,0.061402264494723774,128288.33049374737,0.5823984473894386,13089,DeKalb County,1,0.06666666666666667,0.2666666666666667,8.696334556555918,0.11075258822003463,0.034875388892175535,27185.970215945126,0.09017677379829991,1.0,-4.512290840359675,-0.004699593564291754,-0.01473949742885261,21451.313763264625,0.014056209426951183,0.6266666666666667,0.49000000000000005,11
