Estimate Year,Occupied housing units,RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,One race --,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino origin,"White alone, not Hispanic or Latino",AGE OF HOUSEHOLDER,Under 35 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 years and over,EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,YEAR HOUSEHOLDER MOVED INTO UNIT,Moved in 2015 or later,Moved in 2010 to 2014,Moved in 2000 to 2009,Moved in 1990 to 1999,Moved in 1980 to 1989,Moved in 1979 or earlier,Moved in 2017 or later,Moved in 2015 to 2016,Moved in 1989 or earlier,Moved in 2019 or later,Moved in 2015 to 2018,Moved in 2021 or later,Moved in 2018 to 2020,Moved in 2010 to 2017
2018,122.0,,,21.0,0.0,0.0,97.0,0.0,4.0,0.0,4.0,21.0,,9.0,14.0,25.0,52.0,0.0,12.0,10.0,,37.0,21.0,43.0,21.0,,,30.0,38.0,22.0,,,0.0,10.0,22.0,,,,,
2018,122,,,17.2%,0.0%,0.0%,79.5%,0.0%,3.3%,0.0%,3.3%,17.2%,,7.4%,11.5%,20.5%,42.6%,0.0%,9.8%,8.2%,,30.3%,17.2%,35.2%,17.2%,,,24.6%,31.1%,18.0%,,,0.0%,8.2%,18.0%,,,,,
2018,"1,045",,,257,377,43,195,19,108,46,206,211,,322,358,169,156,17,23,0,,160,165,341,379,,,566,165,45,,,49,181,39,,,,,
2018,"1,045",,,24.6%,36.1%,4.1%,18.7%,1.8%,10.3%,4.4%,19.7%,20.2%,,30.8%,34.3%,16.2%,14.9%,1.6%,2.2%,0.0%,,15.3%,15.8%,32.6%,36.3%,,,54.2%,15.8%,4.3%,,,4.7%,17.3%,3.7%,,,,,
2018,"1,557",,,656,292,0,495,11,21,82,168,554,,506,235,302,258,129,64,63,,197,173,444,743,,,482,376,265,,,77,241,116,,,,,
2018,"1,557",,,42.1%,18.8%,0.0%,31.8%,0.7%,1.3%,5.3%,10.8%,35.6%,,32.5%,15.1%,19.4%,16.6%,8.3%,4.1%,4.0%,,12.7%,11.1%,28.5%,47.7%,,,31.0%,24.1%,17.0%,,,4.9%,15.5%,7.5%,,,,,
2018,372.0,,,165.0,58.0,0.0,134.0,5.0,0.0,10.0,28.0,137.0,,22.0,32.0,106.0,87.0,73.0,24.0,28.0,,72.0,5.0,120.0,175.0,,,53.0,86.0,101.0,,,28.0,22.0,82.0,,,,,
2018,372,,,44.4%,15.6%,0.0%,36.0%,1.3%,0.0%,2.7%,7.5%,36.8%,,5.9%,8.6%,28.5%,23.4%,19.6%,6.5%,7.5%,,19.4%,1.3%,32.3%,47.0%,,,14.2%,23.1%,27.2%,,,7.5%,5.9%,22.0%,,,,,
2018,"1,185",,,491,234,0,361,6,21,72,140,417,,484,203,196,171,56,40,35,,125,168,324,568,,,429,290,164,,,49,219,34,,,,,
2018,"1,185",,,41.4%,19.7%,0.0%,30.5%,0.5%,1.8%,6.1%,11.8%,35.2%,,40.8%,17.1%,16.5%,14.4%,4.7%,3.4%,3.0%,,10.5%,14.2%,27.3%,47.9%,,,36.2%,24.5%,13.8%,,,4.1%,18.5%,2.9%,,,,,
2018,"1,409",,,637,300,45,249,0,97,81,295,470,,406,337,227,243,176,20,0,,185,129,348,747,,,518,447,144,,,11,175,114,,,,,
2018,"1,409",,,45.2%,21.3%,3.2%,17.7%,0.0%,6.9%,5.7%,20.9%,33.4%,,28.8%,23.9%,16.1%,17.2%,12.5%,1.4%,0.0%,,13.1%,9.2%,24.7%,53.0%,,,36.8%,31.7%,10.2%,,,0.8%,12.4%,8.1%,,,,,
2018,418.0,,,231.0,59.0,6.0,122.0,0.0,0.0,0.0,50.0,181.0,,58.0,91.0,90.0,78.0,81.0,20.0,0.0,,41.0,14.0,77.0,286.0,,,39.0,159.0,81.0,,,11.0,55.0,73.0,,,,,
2018,418,,,55.3%,14.1%,1.4%,29.2%,0.0%,0.0%,0.0%,12.0%,43.3%,,13.9%,21.8%,21.5%,18.7%,19.4%,4.8%,0.0%,,9.8%,3.3%,18.4%,68.4%,,,9.3%,38.0%,19.4%,,,2.6%,13.2%,17.5%,,,,,
2018,991.0,,,406.0,241.0,39.0,127.0,0.0,97.0,81.0,245.0,289.0,,348.0,246.0,137.0,165.0,95.0,0.0,0.0,,144.0,115.0,271.0,461.0,,,479.0,288.0,63.0,,,0.0,120.0,41.0,,,,,
2018,991,,,41.0%,24.3%,3.9%,12.8%,0.0%,9.8%,8.2%,24.7%,29.2%,,35.1%,24.8%,13.8%,16.6%,9.6%,0.0%,0.0%,,14.5%,11.6%,27.3%,46.5%,,,48.3%,29.1%,6.4%,,,0.0%,12.1%,4.1%,,,,,
2018,"1,340",,,315,496,17,333,0,114,65,189,230,,407,301,184,298,116,23,11,,148,208,553,431,,,514,399,110,,,10,153,154,,,,,
2018,"1,340",,,23.5%,37.0%,1.3%,24.9%,0.0%,8.5%,4.9%,14.1%,17.2%,,30.4%,22.5%,13.7%,22.2%,8.7%,1.7%,0.8%,,11.0%,15.5%,41.3%,32.2%,,,38.4%,29.8%,8.2%,,,0.7%,11.4%,11.5%,,,,,
2018,325.0,,,110.0,72.0,0.0,79.0,0.0,64.0,0.0,71.0,92.0,,40.0,53.0,88.0,56.0,65.0,23.0,0.0,,60.0,36.0,111.0,118.0,,,77.0,92.0,44.0,,,0.0,7.0,105.0,,,,,
2018,325,,,33.8%,22.2%,0.0%,24.3%,0.0%,19.7%,0.0%,21.8%,28.3%,,12.3%,16.3%,27.1%,17.2%,20.0%,7.1%,0.0%,,18.5%,11.1%,34.2%,36.3%,,,23.7%,28.3%,13.5%,,,0.0%,2.2%,32.3%,,,,,
2018,"1,015",,,205,424,17,254,0,50,65,118,138,,367,248,96,242,51,0,11,,88,172,442,313,,,437,307,66,,,10,146,49,,,,,
2018,"1,015",,,20.2%,41.8%,1.7%,25.0%,0.0%,4.9%,6.4%,11.6%,13.6%,,36.2%,24.4%,9.5%,23.8%,5.0%,0.0%,1.1%,,8.7%,16.9%,43.5%,30.8%,,,43.1%,30.2%,6.5%,,,1.0%,14.4%,4.8%,,,,,
2018,"1,351",,,277,369,17,531,20,95,42,211,193,,274,314,255,318,115,62,13,,368,353,405,225,,,518,369,150,,,40,145,129,,,,,
2018,"1,351",,,20.5%,27.3%,1.3%,39.3%,1.5%,7.0%,3.1%,15.6%,14.3%,,20.3%,23.2%,18.9%,23.5%,8.5%,4.6%,1.0%,,27.2%,26.1%,30.0%,16.7%,,,38.3%,27.3%,11.1%,,,3.0%,10.7%,9.5%,,,,,
2018,443.0,,,102.0,98.0,0.0,181.0,0.0,39.0,23.0,72.0,90.0,,43.0,59.0,99.0,133.0,82.0,14.0,13.0,,96.0,53.0,161.0,133.0,,,66.0,94.0,116.0,,,0.0,45.0,122.0,,,,,
2018,443,,,23.0%,22.1%,0.0%,40.9%,0.0%,8.8%,5.2%,16.3%,20.3%,,9.7%,13.3%,22.3%,30.0%,18.5%,3.2%,2.9%,,21.7%,12.0%,36.3%,30.0%,,,14.9%,21.2%,26.2%,,,0.0%,10.2%,27.5%,,,,,
2018,908.0,,,175.0,271.0,17.0,350.0,20.0,56.0,19.0,139.0,103.0,,231.0,255.0,156.0,185.0,33.0,48.0,0.0,,272.0,300.0,244.0,92.0,,,452.0,275.0,34.0,,,40.0,100.0,7.0,,,,,
2018,908,,,19.3%,29.8%,1.9%,38.5%,2.2%,6.2%,2.1%,15.3%,11.3%,,25.4%,28.1%,17.2%,20.4%,3.6%,5.3%,0.0%,,30.0%,33.0%,26.9%,10.1%,,,49.8%,30.3%,3.7%,,,4.4%,11.0%,0.8%,,,,,
2018,"1,089",,,175,193,56,359,11,265,30,445,49,,287,143,278,188,141,52,0,,533,187,314,55,,,370,340,133,,,43,67,136,,,,,
2018,"1,089",,,16.1%,17.7%,5.1%,33.0%,1.0%,24.3%,2.8%,40.9%,4.5%,,26.4%,13.1%,25.5%,17.3%,12.9%,4.8%,0.0%,,48.9%,17.2%,28.8%,5.1%,,,34.0%,31.2%,12.2%,,,3.9%,6.2%,12.5%,,,,,
2018,331.0,,,42.0,80.0,23.0,165.0,0.0,21.0,0.0,81.0,0.0,,35.0,33.0,34.0,106.0,79.0,44.0,0.0,,128.0,107.0,63.0,33.0,,,60.0,75.0,29.0,,,23.0,12.0,132.0,,,,,
2018,331,,,12.7%,24.2%,6.9%,49.8%,0.0%,6.3%,0.0%,24.5%,0.0%,,10.6%,10.0%,10.3%,32.0%,23.9%,13.3%,0.0%,,38.7%,32.3%,19.0%,10.0%,,,18.1%,22.7%,8.8%,,,6.9%,3.6%,39.9%,,,,,
2018,758.0,,,133.0,113.0,33.0,194.0,11.0,244.0,30.0,364.0,49.0,,252.0,110.0,244.0,82.0,62.0,8.0,0.0,,405.0,80.0,251.0,22.0,,,310.0,265.0,104.0,,,20.0,55.0,4.0,,,,,
2018,758,,,17.5%,14.9%,4.4%,25.6%,1.5%,32.2%,4.0%,48.0%,6.5%,,33.2%,14.5%,32.2%,10.8%,8.2%,1.1%,0.0%,,53.4%,10.6%,33.1%,2.9%,,,40.9%,35.0%,13.7%,,,2.6%,7.3%,0.5%,,,,,
2018,923.0,,,156.0,169.0,11.0,443.0,2.0,119.0,23.0,175.0,106.0,,238.0,135.0,193.0,145.0,118.0,58.0,36.0,,340.0,157.0,212.0,214.0,,,411.0,197.0,131.0,,,28.0,76.0,80.0,,,,,
2018,923,,,16.9%,18.3%,1.2%,48.0%,0.2%,12.9%,2.5%,19.0%,11.5%,,25.8%,14.6%,20.9%,15.7%,12.8%,6.3%,3.9%,,36.8%,17.0%,23.0%,23.2%,,,44.5%,21.3%,14.2%,,,3.0%,8.2%,8.7%,,,,,
2018,300.0,,,39.0,45.0,0.0,188.0,0.0,28.0,0.0,36.0,31.0,,35.0,40.0,64.0,65.0,54.0,19.0,23.0,,77.0,71.0,53.0,99.0,,,63.0,67.0,72.0,,,0.0,23.0,75.0,,,,,
2018,300,,,13.0%,15.0%,0.0%,62.7%,0.0%,9.3%,0.0%,12.0%,10.3%,,11.7%,13.3%,21.3%,21.7%,18.0%,6.3%,7.7%,,25.7%,23.7%,17.7%,33.0%,,,21.0%,22.3%,24.0%,,,0.0%,7.7%,25.0%,,,,,
2018,623.0,,,117.0,124.0,11.0,255.0,2.0,91.0,23.0,139.0,75.0,,203.0,95.0,129.0,80.0,64.0,39.0,13.0,,263.0,86.0,159.0,115.0,,,348.0,130.0,59.0,,,28.0,53.0,5.0,,,,,
2018,623,,,18.8%,19.9%,1.8%,40.9%,0.3%,14.6%,3.7%,22.3%,12.0%,,32.6%,15.2%,20.7%,12.8%,10.3%,6.3%,2.1%,,42.2%,13.8%,25.5%,18.5%,,,55.9%,20.9%,9.5%,,,4.5%,8.5%,0.8%,,,,,
2018,"1,465",,,402,261,10,587,8,137,60,208,341,,297,242,317,273,234,82,20,,349,208,434,474,,,475,433,98,,,100,147,212,,,,,
2018,"1,465",,,27.4%,17.8%,0.7%,40.1%,0.5%,9.4%,4.1%,14.2%,23.3%,,20.3%,16.5%,21.6%,18.6%,16.0%,5.6%,1.4%,,23.8%,14.2%,29.6%,32.4%,,,32.4%,29.6%,6.7%,,,6.8%,10.0%,14.5%,,,,,
2018,179.0,,,57.0,0.0,0.0,114.0,0.0,0.0,8.0,0.0,57.0,,24.0,50.0,27.0,51.0,27.0,0.0,0.0,,0.0,8.0,97.0,74.0,,,52.0,10.0,31.0,,,7.0,15.0,64.0,,,,,
2018,179,,,31.8%,0.0%,0.0%,63.7%,0.0%,0.0%,4.5%,0.0%,31.8%,,13.4%,27.9%,15.1%,28.5%,15.1%,0.0%,0.0%,,0.0%,4.5%,54.2%,41.3%,,,29.1%,5.6%,17.3%,,,3.9%,8.4%,35.8%,,,,,
2018,"1,286",,,345,261,10,473,8,137,52,208,284,,273,192,290,222,207,82,20,,349,200,337,400,,,423,423,67,,,93,132,148,,,,,
2018,"1,286",,,26.8%,20.3%,0.8%,36.8%,0.6%,10.7%,4.0%,16.2%,22.1%,,21.2%,14.9%,22.6%,17.3%,16.1%,6.4%,1.6%,,27.1%,15.6%,26.2%,31.1%,,,32.9%,32.9%,5.2%,,,7.2%,10.3%,11.5%,,,,,
2019,"2,414",,,"1,230",342,15,599,0,132,96,325,"1,080",,773,452,380,354,296,129,30,,72,296,492,"1,554",,,807,530,270,,,155,303,349,,,,,
2019,"2,414",,,51.0%,14.2%,0.6%,24.8%,0.0%,5.5%,4.0%,13.5%,44.7%,,32.0%,18.7%,15.7%,14.7%,12.3%,5.3%,1.2%,,3.0%,12.3%,20.4%,64.4%,,,33.4%,22.0%,11.2%,,,6.4%,12.6%,14.5%,,,,,
2019,730.0,,,321.0,6.0,15.0,342.0,0.0,0.0,46.0,46.0,303.0,,27.0,95.0,169.0,148.0,180.0,81.0,30.0,,49.0,170.0,104.0,407.0,,,119.0,138.0,176.0,,,0.0,69.0,228.0,,,,,
2019,730,,,44.0%,0.8%,2.1%,46.8%,0.0%,0.0%,6.3%,6.3%,41.5%,,3.7%,13.0%,23.2%,20.3%,24.7%,11.1%,4.1%,,6.7%,23.3%,14.2%,55.8%,,,16.3%,18.9%,24.1%,,,0.0%,9.5%,31.2%,,,,,
2019,"1,684",,,909,336,0,257,0,132,50,279,777,,746,357,211,206,116,48,0,,23,126,388,"1,147",,,688,392,94,,,155,234,121,,,,,
2019,"1,684",,,54.0%,20.0%,0.0%,15.3%,0.0%,7.8%,3.0%,16.6%,46.1%,,44.3%,21.2%,12.5%,12.2%,6.9%,2.9%,0.0%,,1.4%,7.5%,23.0%,68.1%,,,40.9%,23.3%,5.6%,,,9.2%,13.9%,7.2%,,,,,
2019,"1,572",,,907,243,0,186,13,107,116,208,856,,414,442,338,148,197,33,0,,57,36,328,"1,151",,,545,393,165,,,238,179,52,,,,,
2019,"1,572",,,57.7%,15.5%,0.0%,11.8%,0.8%,6.8%,7.4%,13.2%,54.5%,,26.3%,28.1%,21.5%,9.4%,12.5%,2.1%,0.0%,,3.6%,2.3%,20.9%,73.2%,,,34.7%,25.0%,10.5%,,,15.1%,11.4%,3.3%,,,,,
2019,171.0,,,100.0,11.0,0.0,40.0,5.0,0.0,15.0,0.0,100.0,,0.0,29.0,9.0,42.0,66.0,25.0,0.0,,23.0,12.0,44.0,92.0,,,39.0,21.0,59.0,,,0.0,9.0,43.0,,,,,
2019,171,,,58.5%,6.4%,0.0%,23.4%,2.9%,0.0%,8.8%,0.0%,58.5%,,0.0%,17.0%,5.3%,24.6%,38.6%,14.6%,0.0%,,13.5%,7.0%,25.7%,53.8%,,,22.8%,12.3%,34.5%,,,0.0%,5.3%,25.1%,,,,,
2019,"1,401",,,807,232,0,146,8,107,101,208,756,,414,413,329,106,131,8,0,,34,24,284,"1,059",,,506,372,106,,,238,170,9,,,,,
2019,"1,401",,,57.6%,16.6%,0.0%,10.4%,0.6%,7.6%,7.2%,14.8%,54.0%,,29.6%,29.5%,23.5%,7.6%,9.4%,0.6%,0.0%,,2.4%,1.7%,20.3%,75.6%,,,36.1%,26.6%,7.6%,,,17.0%,12.1%,0.6%,,,,,
2019,"1,377",,,572,233,8,490,0,25,49,106,502,,412,272,110,243,143,133,64,,305,80,287,705,,,452,304,81,,,195,290,55,,,,,
2019,"1,377",,,41.5%,16.9%,0.6%,35.6%,0.0%,1.8%,3.6%,7.7%,36.5%,,29.9%,19.8%,8.0%,17.6%,10.4%,9.7%,4.6%,,22.1%,5.8%,20.8%,51.2%,,,32.8%,22.1%,5.9%,,,14.2%,21.1%,4.0%,,,,,
2019,85.0,,,24.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,24.0,,0.0,0.0,7.0,24.0,16.0,33.0,5.0,,38.0,0.0,16.0,31.0,,,16.0,17.0,8.0,,,23.0,0.0,21.0,,,,,
2019,85,,,28.2%,0.0%,0.0%,71.8%,0.0%,0.0%,0.0%,0.0%,28.2%,,0.0%,0.0%,8.2%,28.2%,18.8%,38.8%,5.9%,,44.7%,0.0%,18.8%,36.5%,,,18.8%,20.0%,9.4%,,,27.1%,0.0%,24.7%,,,,,
2019,"1,292",,,548,233,8,429,0,25,49,106,478,,412,272,103,219,127,100,59,,267,80,271,674,,,436,287,73,,,172,290,34,,,,,
2019,"1,292",,,42.4%,18.0%,0.6%,33.2%,0.0%,1.9%,3.8%,8.2%,37.0%,,31.9%,21.1%,8.0%,17.0%,9.8%,7.7%,4.6%,,20.7%,6.2%,21.0%,52.2%,,,33.7%,22.2%,5.7%,,,13.3%,22.4%,2.6%,,,,,
2019,"1,657",,,441,314,0,539,0,245,118,276,388,,536,361,284,216,202,49,9,,212,238,602,605,,,727,232,167,,,138,283,110,,,,,
2019,"1,657",,,26.6%,18.9%,0.0%,32.5%,0.0%,14.8%,7.1%,16.7%,23.4%,,32.3%,21.8%,17.1%,13.0%,12.2%,3.0%,0.5%,,12.8%,14.4%,36.3%,36.5%,,,43.9%,14.0%,10.1%,,,8.3%,17.1%,6.6%,,,,,
2019,219.0,,,44.0,5.0,0.0,161.0,0.0,0.0,9.0,10.0,34.0,,9.0,32.0,59.0,40.0,52.0,18.0,9.0,,72.0,11.0,45.0,91.0,,,10.0,18.0,91.0,,,0.0,9.0,91.0,,,,,
2019,219,,,20.1%,2.3%,0.0%,73.5%,0.0%,0.0%,4.1%,4.6%,15.5%,,4.1%,14.6%,26.9%,18.3%,23.7%,8.2%,4.1%,,32.9%,5.0%,20.5%,41.6%,,,4.6%,8.2%,41.6%,,,0.0%,4.1%,41.6%,,,,,
2019,"1,438",,,397,309,0,378,0,245,109,266,354,,527,329,225,176,150,31,0,,140,227,557,514,,,717,214,76,,,138,274,19,,,,,
2019,"1,438",,,27.6%,21.5%,0.0%,26.3%,0.0%,17.0%,7.6%,18.5%,24.6%,,36.6%,22.9%,15.6%,12.2%,10.4%,2.2%,0.0%,,9.7%,15.8%,38.7%,35.7%,,,49.9%,14.9%,5.3%,,,9.6%,19.1%,1.3%,,,,,
2019,"1,180",,,271,365,45,302,18,116,63,194,237,,360,351,120,275,40,26,8,,218,192,341,429,,,522,192,92,,,69,252,53,,,,,
2019,"1,180",,,23.0%,30.9%,3.8%,25.6%,1.5%,9.8%,5.3%,16.4%,20.1%,,30.5%,29.7%,10.2%,23.3%,3.4%,2.2%,0.7%,,18.5%,16.3%,28.9%,36.4%,,,44.2%,16.3%,7.8%,,,5.8%,21.4%,4.5%,,,,,
2019,117.0,,,34.0,0.0,0.0,74.0,0.0,9.0,0.0,9.0,34.0,,9.0,42.0,9.0,49.0,0.0,0.0,8.0,,38.0,18.0,27.0,34.0,,,9.0,42.0,18.0,,,13.0,9.0,26.0,,,,,
2019,117,,,29.1%,0.0%,0.0%,63.2%,0.0%,7.7%,0.0%,7.7%,29.1%,,7.7%,35.9%,7.7%,41.9%,0.0%,0.0%,6.8%,,32.5%,15.4%,23.1%,29.1%,,,7.7%,35.9%,15.4%,,,11.1%,7.7%,22.2%,,,,,
2019,"1,063",,,237,365,45,228,18,107,63,185,203,,351,309,111,226,40,26,0,,180,174,314,395,,,513,150,74,,,56,243,27,,,,,
2019,"1,063",,,22.3%,34.3%,4.2%,21.4%,1.7%,10.1%,5.9%,17.4%,19.1%,,33.0%,29.1%,10.4%,21.3%,3.8%,2.4%,0.0%,,16.9%,16.4%,29.5%,37.2%,,,48.3%,14.1%,7.0%,,,5.3%,22.9%,2.5%,,,,,
2019,"1,572",,,555,419,7,463,15,30,83,140,480,,397,274,256,298,171,116,60,,198,167,452,755,,,350,394,206,,,124,313,185,,,,,
2019,"1,572",,,35.3%,26.7%,0.4%,29.5%,1.0%,1.9%,5.3%,8.9%,30.5%,,25.3%,17.4%,16.3%,19.0%,10.9%,7.4%,3.8%,,12.6%,10.6%,28.8%,48.0%,,,22.3%,25.1%,13.1%,,,7.9%,19.9%,11.8%,,,,,
2019,407.0,,,136.0,107.0,0.0,146.0,6.0,5.0,7.0,28.0,113.0,,29.0,45.0,77.0,103.0,62.0,57.0,34.0,,84.0,25.0,123.0,175.0,,,27.0,145.0,84.0,,,23.0,43.0,85.0,,,,,
2019,407,,,33.4%,26.3%,0.0%,35.9%,1.5%,1.2%,1.7%,6.9%,27.8%,,7.1%,11.1%,18.9%,25.3%,15.2%,14.0%,8.4%,,20.6%,6.1%,30.2%,43.0%,,,6.6%,35.6%,20.6%,,,5.7%,10.6%,20.9%,,,,,
2019,"1,165",,,419,312,7,317,9,25,76,112,367,,368,229,179,195,109,59,26,,114,142,329,580,,,323,249,122,,,101,270,100,,,,,
2019,"1,165",,,36.0%,26.8%,0.6%,27.2%,0.8%,2.1%,6.5%,9.6%,31.5%,,31.6%,19.7%,15.4%,16.7%,9.4%,5.1%,2.2%,,9.8%,12.2%,28.2%,49.8%,,,27.7%,21.4%,10.5%,,,8.7%,23.2%,8.6%,,,,,
2019,"1,386",,,636,305,39,247,0,76,83,268,464,,293,414,243,240,179,17,0,,190,190,180,826,,,519,342,172,,,24,214,115,,,,,
2019,"1,386",,,45.9%,22.0%,2.8%,17.8%,0.0%,5.5%,6.0%,19.3%,33.5%,,21.1%,29.9%,17.5%,17.3%,12.9%,1.2%,0.0%,,13.7%,13.7%,13.0%,59.6%,,,37.4%,24.7%,12.4%,,,1.7%,15.4%,8.3%,,,,,
2019,435.0,,,261.0,23.0,0.0,151.0,0.0,0.0,0.0,57.0,204.0,,64.0,101.0,116.0,67.0,70.0,17.0,0.0,,67.0,25.0,23.0,320.0,,,65.0,110.0,116.0,,,16.0,62.0,66.0,,,,,
2019,435,,,60.0%,5.3%,0.0%,34.7%,0.0%,0.0%,0.0%,13.1%,46.9%,,14.7%,23.2%,26.7%,15.4%,16.1%,3.9%,0.0%,,15.4%,5.7%,5.3%,73.6%,,,14.9%,25.3%,26.7%,,,3.7%,14.3%,15.2%,,,,,
2019,951.0,,,375.0,282.0,39.0,96.0,0.0,76.0,83.0,211.0,260.0,,229.0,313.0,127.0,173.0,109.0,0.0,0.0,,123.0,165.0,157.0,506.0,,,454.0,232.0,56.0,,,8.0,152.0,49.0,,,,,
2019,951,,,39.4%,29.7%,4.1%,10.1%,0.0%,8.0%,8.7%,22.2%,27.3%,,24.1%,32.9%,13.4%,18.2%,11.5%,0.0%,0.0%,,12.9%,17.4%,16.5%,53.2%,,,47.7%,24.4%,5.9%,,,0.8%,16.0%,5.2%,,,,,
2019,"1,368",,,293,451,14,413,0,118,79,149,239,,517,231,230,303,69,7,11,,178,225,461,504,,,374,449,90,,,165,204,86,,,,,
2019,"1,368",,,21.4%,33.0%,1.0%,30.2%,0.0%,8.6%,5.8%,10.9%,17.5%,,37.8%,16.9%,16.8%,22.1%,5.0%,0.5%,0.8%,,13.0%,16.4%,33.7%,36.8%,,,27.3%,32.8%,6.6%,,,12.1%,14.9%,6.3%,,,,,
2019,400.0,,,129.0,97.0,0.0,126.0,0.0,48.0,0.0,67.0,102.0,,63.0,56.0,147.0,90.0,37.0,7.0,0.0,,100.0,56.0,111.0,133.0,,,102.0,145.0,40.0,,,44.0,11.0,58.0,,,,,
2019,400,,,32.3%,24.3%,0.0%,31.5%,0.0%,12.0%,0.0%,16.8%,25.5%,,15.8%,14.0%,36.8%,22.5%,9.3%,1.8%,0.0%,,25.0%,14.0%,27.8%,33.3%,,,25.5%,36.3%,10.0%,,,11.0%,2.8%,14.5%,,,,,
2019,968.0,,,164.0,354.0,14.0,287.0,0.0,70.0,79.0,82.0,137.0,,454.0,175.0,83.0,213.0,32.0,0.0,11.0,,78.0,169.0,350.0,371.0,,,272.0,304.0,50.0,,,121.0,193.0,28.0,,,,,
2019,968,,,16.9%,36.6%,1.4%,29.6%,0.0%,7.2%,8.2%,8.5%,14.2%,,46.9%,18.1%,8.6%,22.0%,3.3%,0.0%,1.1%,,8.1%,17.5%,36.2%,38.3%,,,28.1%,31.4%,5.2%,,,12.5%,19.9%,2.9%,,,,,
2019,"1,338",,,275,372,19,525,25,79,43,178,204,,297,283,265,259,127,99,8,,345,350,401,242,,,442,346,139,,,101,171,139,,,,,
2019,"1,338",,,20.6%,27.8%,1.4%,39.2%,1.9%,5.9%,3.2%,13.3%,15.2%,,22.2%,21.2%,19.8%,19.4%,9.5%,7.4%,0.6%,,25.8%,26.2%,30.0%,18.1%,,,33.0%,25.9%,10.4%,,,7.5%,12.8%,10.4%,,,,,
2019,461.0,,,124.0,126.0,0.0,164.0,0.0,33.0,14.0,69.0,106.0,,81.0,48.0,78.0,118.0,90.0,38.0,8.0,,85.0,48.0,182.0,146.0,,,79.0,72.0,117.0,,,20.0,41.0,132.0,,,,,
2019,461,,,26.9%,27.3%,0.0%,35.6%,0.0%,7.2%,3.0%,15.0%,23.0%,,17.6%,10.4%,16.9%,25.6%,19.5%,8.2%,1.7%,,18.4%,10.4%,39.5%,31.7%,,,17.1%,15.6%,25.4%,,,4.3%,8.9%,28.6%,,,,,
2019,877.0,,,151.0,246.0,19.0,361.0,25.0,46.0,29.0,109.0,98.0,,216.0,235.0,187.0,141.0,37.0,61.0,0.0,,260.0,302.0,219.0,96.0,,,363.0,274.0,22.0,,,81.0,130.0,7.0,,,,,
2019,877,,,17.2%,28.1%,2.2%,41.2%,2.9%,5.2%,3.3%,12.4%,11.2%,,24.6%,26.8%,21.3%,16.1%,4.2%,7.0%,0.0%,,29.6%,34.4%,25.0%,10.9%,,,41.4%,31.2%,2.5%,,,9.2%,14.8%,0.8%,,,,,
2019,"1,100",,,162,191,19,394,9,286,39,427,47,,279,227,208,182,170,34,0,,436,285,295,84,,,313,322,124,,,113,106,122,,,,,
2019,"1,100",,,14.7%,17.4%,1.7%,35.8%,0.8%,26.0%,3.5%,38.8%,4.3%,,25.4%,20.6%,18.9%,16.5%,15.5%,3.1%,0.0%,,39.6%,25.9%,26.8%,7.6%,,,28.5%,29.3%,11.3%,,,10.3%,9.6%,11.1%,,,,,
2019,328.0,,,13.0,82.0,6.0,183.0,0.0,44.0,0.0,57.0,0.0,,45.0,50.0,32.0,96.0,78.0,27.0,0.0,,122.0,108.0,66.0,32.0,,,32.0,92.0,42.0,,,44.0,13.0,105.0,,,,,
2019,328,,,4.0%,25.0%,1.8%,55.8%,0.0%,13.4%,0.0%,17.4%,0.0%,,13.7%,15.2%,9.8%,29.3%,23.8%,8.2%,0.0%,,37.2%,32.9%,20.1%,9.8%,,,9.8%,28.0%,12.8%,,,13.4%,4.0%,32.0%,,,,,
2019,772.0,,,149.0,109.0,13.0,211.0,9.0,242.0,39.0,370.0,47.0,,234.0,177.0,176.0,86.0,92.0,7.0,0.0,,314.0,177.0,229.0,52.0,,,281.0,230.0,82.0,,,69.0,93.0,17.0,,,,,
2019,772,,,19.3%,14.1%,1.7%,27.3%,1.2%,31.3%,5.1%,47.9%,6.1%,,30.3%,22.9%,22.8%,11.1%,11.9%,0.9%,0.0%,,40.7%,22.9%,29.7%,6.7%,,,36.4%,29.8%,10.6%,,,8.9%,12.0%,2.2%,,,,,
2019,925.0,,,139.0,183.0,6.0,430.0,0.0,137.0,30.0,200.0,91.0,,225.0,149.0,165.0,160.0,117.0,77.0,32.0,,338.0,156.0,216.0,215.0,,,335.0,196.0,132.0,,,82.0,111.0,69.0,,,,,
2019,925,,,15.0%,19.8%,0.6%,46.5%,0.0%,14.8%,3.2%,21.6%,9.8%,,24.3%,16.1%,17.8%,17.3%,12.6%,8.3%,3.5%,,36.5%,16.9%,23.4%,23.2%,,,36.2%,21.2%,14.3%,,,8.9%,12.0%,7.5%,,,,,
